AgencyId,Name
1,40 KNOTS ESTATE WINERY
2,ALBERTA DISTILLERS LIMITED
3,ARBUTUS DISTILLERY INC.
4,ARTERRA WINES CANADA INC.
5,AUTHENTIC WINE & SPIRITS MERCHANTS
6,B.C. LIQUOR DISTRIBUTION BRANCH
7,BACARDI CANADA INC.
8,BIG ROCK URBAN BREWERY LTD PARTNERSHIP
9,CHARTON-HOBBS INC.
10,COAL HARBOUR BREWERS AND DISTILLERS
11,CORBY SPIRIT AND WINE LIMITED
12,CRAFT BEER IMPORTERS CANADA INC.
13,DAVID HERMAN & SON LTD.
14,DIAGEO CANADA
15,E & J GALLO WINERY CANADA  LTD.
16,GRANVILLE ISLAND BREWING CO. LIMITED
17,HERITAGE REALTY PROPERTIES LIMITED
18,LABATT BREWERIES OF CANADA
19,LE VIEUX PIN WINERY
20,MARK ANTHONY GROUP INC.
21,MOLSON CANADA 2005
22,MOOSEHEAD BREWERIES LIMITED
23,NEWFOUNDLAND LIQUOR CORPORATION
24,PACIFIC WINE & SPIRITS INC.
25,PEACOCK & MARTIN
26,THE VIEW WINERY
27,TWISTED HILLS CRAFT CIDER
28,UNTAPPED TRADING INCORPORATED
29,VALLEY CIDER COMPANY
30,VINTAGE WEST WINE MARKETING INC.
31,YALETOWN DISTILLING COMPANY
